	UMAP1	UMAP2
medtr_mappings/paired/SRR5721223/abundance	-4.0755053	1.884377
medtr_mappings/paired/SRR5217267/abundance	3.055292	-0.1642387
medtr_mappings/paired/SRR7226323/abundance	-1.3947428	2.3723538
medtr_mappings/paired/SRR2910676/abundance	6.8369174	-1.0972018
medtr_mappings/paired/SRR3474210/abundance	4.7644916	-0.8235542
medtr_mappings/paired/SRR5740876/abundance	5.862167	-0.8422959
medtr_mappings/paired/SRR504352/abundance	-3.4782972	2.671424
medtr_mappings/paired/SRR5721281/abundance	3.974917	-0.27810478
medtr_mappings/paired/SRR1979305/abundance	5.395589	1.5747335
medtr_mappings/paired/SRR6283640/abundance	7.3491364	-0.8649929
medtr_mappings/paired/SRR5721276/abundance	4.9640746	0.015695956
medtr_mappings/paired/SRR949235/abundance	6.6421266	0.25239673
medtr_mappings/paired/SRR8093920/abundance	3.9528334	-0.92597795
medtr_mappings/paired/SRR2015988/abundance	9.783117	-0.49405625
medtr_mappings/paired/SRR2015989/abundance	8.969162	0.2387592
medtr_mappings/paired/SRR7226326/abundance	-1.5898789	2.4286888
medtr_mappings/paired/ERR1830531/abundance	3.330399	-0.49365023
medtr_mappings/paired/SRR2016023/abundance	10.110629	0.121371806
medtr_mappings/paired/SRR5721227/abundance	-4.204933	2.1551378
medtr_mappings/paired/SRR5721242/abundance	-4.1622353	1.9465055
medtr_mappings/paired/SRR5721233/abundance	-3.6902606	1.5975126
medtr_mappings/paired/SRR5732301/abundance	3.6826096	-0.5467871
medtr_mappings/paired/SRR2015997/abundance	9.502285	0.31973726
medtr_mappings/paired/SRR2015990/abundance	8.868741	0.3296934
medtr_mappings/paired/SRR2015974/abundance	9.097312	0.12450736
medtr_mappings/paired/SRR8093914/abundance	4.4748816	-0.7278588
medtr_mappings/paired/ERR2193168/abundance	5.625987	-1.6884929
medtr_mappings/paired/SRR5721283/abundance	-3.8050077	1.7242429
medtr_mappings/paired/SRR2016028/abundance	9.565897	-0.26296535
medtr_mappings/paired/SRR949237/abundance	6.5366344	0.16961384
medtr_mappings/paired/SRR5721267/abundance	3.963554	-0.67676234
medtr_mappings/paired/ERR2193165/abundance	5.8128567	-1.5104207
medtr_mappings/paired/SRR2016026/abundance	9.600733	-0.17299539
medtr_mappings/paired/SRR7772266/abundance	-1.8973675	2.6459086
medtr_mappings/paired/SRR2015999/abundance	9.543356	0.36477062
medtr_mappings/paired/SRR5740872/abundance	6.6751575	-0.9670176
medtr_mappings/paired/SRR7226325/abundance	-1.8657103	2.3325267
medtr_mappings/paired/SRR2015995/abundance	9.418971	0.23625746
medtr_mappings/paired/SRR2060980/abundance	-0.84778285	1.7618266
medtr_mappings/paired/SRR2015970/abundance	9.886204	-0.43946147
medtr_mappings/paired/SRR2016003/abundance	9.961743	0.10716758
medtr_mappings/paired/SRR2016002/abundance	9.900119	-0.019023936
medtr_mappings/paired/SRR7772265/abundance	-0.9772417	2.1090572
medtr_mappings/paired/SRR504353/abundance	-3.3752909	2.7480583
medtr_mappings/paired/SRR949600/abundance	6.993907	0.34174314
medtr_mappings/paired/SRR2015986/abundance	9.80981	-0.5770728
medtr_mappings/paired/SRR949241/abundance	6.660047	0.14138123
medtr_mappings/paired/SRR949255/abundance	4.010246	0.15309392
medtr_mappings/paired/SRR2910675/abundance	5.6691647	-0.8199943
medtr_mappings/paired/SRR8093911/abundance	4.4543753	-0.78752506
medtr_mappings/paired/SRR5721286/abundance	-4.4046803	1.9222548
medtr_mappings/paired/SRR6283628/abundance	2.8980494	-0.23800395
medtr_mappings/paired/SRR5721288/abundance	-4.4378514	1.7641438
medtr_mappings/paired/SRR5217277/abundance	3.2619784	0.028651375
medtr_mappings/paired/SRR2016006/abundance	10.169248	0.12649757
medtr_mappings/paired/SRR2910683/abundance	7.055064	-1.0883746
medtr_mappings/paired/SRR2015982/abundance	9.432607	0.27015162
medtr_mappings/paired/SRR1523078/abundance	4.033395	-0.046895865
medtr_mappings/paired/SRR1979303/abundance	5.083496	0.93756616
medtr_mappings/paired/ERR1830521/abundance	3.022576	0.17591903
medtr_mappings/paired/SRR4409157/abundance	-3.7253346	2.093092
medtr_mappings/paired/SRR7822205/abundance	4.1736755	-0.5925414
medtr_mappings/paired/ERR1830519/abundance	3.192481	0.2657644
medtr_mappings/paired/SRR6283647/abundance	7.325406	-0.8305077
medtr_mappings/paired/SRR5721289/abundance	-4.416411	1.9030706
medtr_mappings/paired/ERR1830516/abundance	3.2249768	-0.3745036
medtr_mappings/paired/SRR504356/abundance	-1.5405787	2.0710056
medtr_mappings/paired/SRR8093917/abundance	3.9650755	-1.1394062
medtr_mappings/paired/SRR5721238/abundance	4.6458707	-0.16241243
medtr_mappings/paired/SRR5217275/abundance	3.1935084	0.15697859
medtr_mappings/paired/SRR2015981/abundance	9.286312	0.30993876
medtr_mappings/paired/SRR2016025/abundance	9.493675	-0.2500173
medtr_mappings/paired/SRR5217262/abundance	3.470523	0.27463466
medtr_mappings/paired/SRR5732296/abundance	4.1882935	-0.68570375
medtr_mappings/paired/SRR2015975/abundance	9.09937	-0.19819303
medtr_mappings/paired/SRR5721244/abundance	-4.3895235	2.1186876
medtr_mappings/paired/SRR5598339/abundance	3.1751823	-0.74214226
medtr_mappings/paired/SRR2016021/abundance	10.161448	0.13730682
medtr_mappings/paired/SRR2910677/abundance	6.266773	-0.8719498
medtr_mappings/paired/SRR2016020/abundance	10.1103525	0.10636202
medtr_mappings/paired/SRR6283639/abundance	7.506486	-0.7641896
medtr_mappings/paired/SRR7738215/abundance	-6.431174	2.7388778
medtr_mappings/paired/SRR5732307/abundance	-5.121864	2.650959
medtr_mappings/paired/SRR5721248/abundance	4.277422	-0.39440706
medtr_mappings/paired/SRR6283645/abundance	2.6880167	-0.03760006
medtr_mappings/paired/SRR6283641/abundance	3.036488	-0.17463286
medtr_mappings/paired/SRR2015983/abundance	9.935577	-0.5842557
medtr_mappings/paired/SRR5721290/abundance	3.5922992	-0.26678002
medtr_mappings/paired/SRR7772259/abundance	-1.987026	2.8893268
medtr_mappings/paired/SRR7822200/abundance	4.09494	-0.9607537
medtr_mappings/paired/SRR949256/abundance	3.6664581	-0.2194852
medtr_mappings/paired/ERR1830518/abundance	3.0190341	-0.14475681
medtr_mappings/paired/SRR6283632/abundance	7.176205	-0.92838955
medtr_mappings/paired/SRR8093918/abundance	4.171549	-0.8965944
medtr_mappings/paired/SRR949260/abundance	6.923181	0.25008306
medtr_mappings/paired/SRR2016024/abundance	10.081062	0.114172086
medtr_mappings/paired/SRR7738217/abundance	-7.292534	3.2126937
medtr_mappings/paired/SRR7822198/abundance	4.499359	-1.2609533
medtr_mappings/paired/SRR5732295/abundance	3.8393338	-0.76602376
